name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
Várkert Bazár,transit_station,47.493796,19.04374,16.416666666666668,13.174839235789136,18.875,16.032031738574705,17.791666666666668,14.580178230125387,24.833333333333332,21.408072205491916,46.291666666666664,37.17915989577435
Alfadepo,car_repair,47.5320701,19.088596799999998,19.25,29.41690273748524,23.666666666666668,35.75572992154156,25.291666666666668,37.123082629125626,24.416666666666668,35.903709959959414,19.416666666666668,29.783827639994307
Bálna,shopping_mall,47.4837524,19.060520899999997,16.083333333333332,19.237369593811128,21.75,26.405886338718748,23.5,28.347545455177126,27.708333333333332,33.454545240104856,32.875,34.68706831563217
Zefír Color Kft.,home_goods_store,47.5670516,19.0796895,24.166666666666668,33.51823715863085,17.166666666666668,24.73470346609305,23.458333333333332,34.49755929369819,18.333333333333332,27.21315041584777,13.708333333333334,24.560264600004256
Thai Massage,spa,47.4981797,19.0584983,15.083333333333334,27.242608579617006,0.0,0.0,14.083333333333334,22.1658834448097,0.0,0.0,15.25,23.986541365246193
Family Dentistry,dentist,47.5046515,19.2130495,15.125,17.91952496580197,22.25,25.183079636930824,26.5,32.440972036402776,16.958333333333332,23.32644987752935,16.666666666666668,21.177162751941587
Pizza Forte,restaurant,47.4659057,19.1575665,25.125,29.75218829486889,29.166666666666668,33.484656519400374,23.166666666666668,24.689178916188272,31.416666666666668,34.56143885250664,29.166666666666668,30.41198594121878
Savoya Park,transit_station,47.4362475,19.040832,30.458333333333332,27.904568273950336,34.375,31.637020113573698,35.25,32.06666233541204,37.833333333333336,34.663461390281775,39.291666666666664,36.01791124642787
Belvet Állatorvosi Rendelő,veterinary_care,47.56081270000001,19.1180413,20.166666666666668,30.321426234412005,14.333333333333334,24.079151886134934,17.375,27.25621106585922,17.625,27.56630264773763,20.416666666666668,31.005263890005658
Szépség Sziget Fordászat és Kozmetikai Szalon,beauty_salon,47.460436,19.1470119,21.458333333333332,26.21700969260648,25.625,33.231276056349884,26.416666666666668,29.626728735308518,28.833333333333332,34.95075901258163,27.958333333333332,32.13964214521099
Skyward INDOOR skydiving BUDAPEST,amusement_park,47.432314,19.055329,0.0,0.0,0.0,0.0,0.0,0.0,23.791666666666668,28.699563246773558,19.25,24.113015157793935
Beta-Floor Kft.,home_goods_store,47.496520200000006,19.233455600000003,19.958333333333332,27.627702230832654,17.416666666666668,22.83804695872414,22.416666666666668,31.70556821057707,25.583333333333332,34.210033453489764,17.208333333333332,25.147861351525613
K&H bankfiók - automatizált készpénzforgalmú fiók,bank,47.4789639,19.256847600000004,26.75,36.05117889889317,23.416666666666668,33.75884657718954,27.875,40.21018993986475,25.0,36.33983122323676,20.916666666666668,32.95314434499721
dm-drogerie markt Kft.,drugstore,47.528998,19.0052178,20.291666666666668,23.737240724697177,22.958333333333332,28.740910398864465,24.583333333333332,28.266465211546272,22.875,26.83795896983723,21.333333333333332,23.43726851737539
Escape Zone,night_club,47.5051196,19.057002,5.416666666666667,6.72009837890951,8.833333333333334,12.621630463436787,14.208333333333334,22.849104954510192,12.583333333333334,20.101651397059122,24.75,32.22221024903992
WRC Autoparts Hungary Ltd.,car_repair,47.4821267,19.2190532,17.166666666666668,22.81203386129542,16.0,21.236760581595302,18.916666666666668,25.01652231803791,24.375,33.64002142785683,18.541666666666668,25.367267568441203
